"Components","LogLik","AIC","BIC"
1,-1476.03164440446,2954.06328880892,2958.05725023623
2,-1309.05774928707,2624.11549857415,2636.09738285607
3,-1306.58493258152,2623.16986516304,2643.13967229957
4,-1306.58462169437,2627.16924338873,2655.12697337988
5,-1306.5476437336,2631.0952874672,2667.04094031296
